Bank_BPD;Tahun;Roa;Risiko;Kredit_Masalah_Produktif;Total_Kredit_Produktif;Total_Kredit;NPL_Produktif;Total_Aset;Diversifikasi;Beban_Training;Beban_SDM;Persentase_Beban_Training;LN_Total_Aset;GDP;NPL_>5
Sulawesi.Selatan.dan.Sulawesi.Barat;2018;3.67;0.78;45657507948;3315582238093;15971679770192;1.38;20576423170440;77.62;4818109026;434007307623;1.11;30.6552;-0.01278195489;1
Sulawesi.Selatan.dan.Sulawesi.Barat;2019;3.36;0.16;192916456606;3993982225607;18424050956824;4.83;23541662250195;78.26;6150024591;432727372659;1.42;30.7898;-0.06655974338;3
Sulawesi.Selatan.dan.Sulawesi.Barat;2020;3.12;0.28;96475990095;4545728882592;19653526947618;2.12;24830410397906;79.15;7383405548;485262938979;1.52;30.8431;5.009646302;2
Sulawesi.Selatan.dan.Sulawesi.Barat;2021;3.09;0.15;132615330379;4673364835103;21267419581139;2.84;27784972251064;76.54;14234938688;531917397085;2.68;30.9555;1.431345354;4
Jawa.Barat;2018;1.71;0.26;1025468000000;18969885000000;79991787000000;5.41;120191387000000;66.55;110758000000;2160020000000;5.13;32.4201;-0.9202772964;5
Jawa.Barat;2019;1.68;0.18;1080811000000;21617979000000;87289305000000;5;123536474000000;70.66;89706000000;2024828000000;4.43;32.4476;0.4387159533;3
Jawa.Barat;2020;1.66;0.03;1122779000000;22514218000000;95212443000000;4.99;140961431000000;67.55;36400000000;2639268000000;1.38;32.5795;2.739424704;6
Jawa.Barat;2021;1.73;0.04;1487589000000;27326834000000;102231915000000;5.44;158356097000000;64.56;40102000000;2922119000000;1.37;32.6959;1.722493888;4
Nusa.Tenggara.Barat.Syariah;2018;1.92;1.05;55378140909;583425936452;4868514823506;1.14;7038647000000;69.17;897221100;121147000000;0.5;29.5824;-4.5;8
Nusa.Tenggara.Barat.Syariah;2019;2.56;0.34;46461100661;480479770949;5581375250815;0.83;8640305000000;64.6;6825632353;140778000000;4.39;29.7875;3.9;7
